,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Oklahoma City Thunder,68-14,36-6,32-8,29-1,39-13,Oct-00,1-Sep,Oct-00,4-Dec,13-3,14-6,44-10,24-4,4-Jan,54-5,Apr-00,4-Nov,1-Dec,4-Oct,2-Nov,15-1,2-May
2,Cleveland Cavaliers,64-18,34-7,30-11,41-11,23-7,16-3,4-Dec,13-4,1-Sep,4-Jun,2-Aug,44-10,20-8,4-May,41-7,May-00,3-Dec,1-Dec,5-Oct,1-Oct,5-Nov,3-Apr
3,Boston Celtics,61-21,28-13,33-8,39-13,22-8,14-2,6-Dec,13-5,2-Aug,3-Jul,3-Jul,39-16,22-5,3-Aug,41-7,1-Apr,2-Dec,6-Aug,6-Oct,3-Aug,14-1,2-May
4,Houston Rockets,52-30,29-12,23-18,21-9,31-21,4-Jun,3-Jul,2-Aug,9-Sep,9-Sep,13-3,34-21,18-9,5-Aug,26-12,2-Mar,4-Nov,5-Jul,4-Nov,7-May,5-Dec,3-Mar
5,New York Knicks,51-31,27-14,24-17,34-18,17-13,4-Dec,10-Jul,15-4,4-Jun,6-Apr,3-Jul,36-18,15-13,3-Jul,31-19,2-Feb,6-Sep,2-Dec,6-Sep,4-Jul,7-Aug,4-Apr
6,Denver Nuggets,50-32,26-15,24-17,18-12,32-20,4-Jun,6-Apr,2-Aug,8-Aug,13-6,6-Nov,36-19,14-13,6-Aug,31-17,2-Feb,5-Aug,6-Aug,6-Nov,2-Oct,7-Aug,4-Mar
7,Indiana Pacers,50-32,29-12,21-20,29-22,21-10,7-Oct,6-Oct,9-Sep,4-Jun,2-Aug,4-Jul,30-23,20-9,2-Jun,25-17,3-Feb,8-Jul,7-Jul,2-Oct,5-Jul,6-Nov,1-Jun
8,Los Angeles Clippers,50-32,30-11,20-21,21-9,29-23,3-Jul,6-Apr,Oct-00,10-Aug,7-Sep,6-Dec,31-23,19-9,7-May,32-13,3-Feb,6-Oct,5-Jul,6-Sep,7-Apr,5-Nov,Jul-00
9,Los Angeles Lakers,50-32,31-10,19-22,14-16,36-16,3-Jul,8-Feb,5-May,8-Nov,4-Dec,13-4,32-20,18-12,6-Apr,22-21,2-Mar,6-Aug,6-Jul,5-Sep,2-Oct,8-Sep,3-Apr
10,Minnesota Timberwolves,49-33,25-16,24-17,16-14,33-19,4-Jun,7-Mar,3-Jul,5-Nov,7-Dec,7-Oct,31-25,18-8,11-Nov,31-9,2-Feb,8-Jul,5-Aug,6-Oct,8-May,3-Nov,1-Jun
11,Golden State Warriors,48-34,24-17,24-17,19-11,29-23,4-Jun,4-Jun,3-Jul,5-Nov,11-May,13-7,28-27,20-7,6-Jun,26-15,1-Apr,6-Aug,9-Apr,8-Aug,3-Aug,4-Nov,3-May
12,Memphis Grizzlies,48-34,26-15,22-19,21-10,27-24,5-Jun,4-Jun,1-Sep,8-Sep,11-Jul,5-Nov,36-18,16-Dec,6-Sep,31-15,3-Mar,4-Oct,4-Oct,5-Sep,5-Jun,10-Jun,3-Apr
13,Milwaukee Bucks,48-34,28-14,20-20,31-21,17-13,9-Aug,7-Sep,14-5,5-May,4-Jun,4-Jun,29-24,19-10,9-May,25-19,4-Jan,5-Sep,5-Jul,6-Sep,5-Jul,9-Jul,Aug-00
14,Detroit Pistons,44-38,22-19,22-19,29-23,15-15,13-5,11-May,7-Nov,6-Apr,5-May,4-Jun,29-26,15-12,6-Aug,23-17,4-Jan,9-Aug,5-May,6-Oct,3-Sep,6-Sep,5-Feb
15,Orlando Magic,41-41,22-19,19-22,31-21,20-Oct,8-Nov,9-Aug,4-Dec,0-10,4-Jun,6-Apr,27-29,14-12,7-Apr,22-20,2-Mar,5-Nov,7-Jun,11-Apr,7-May,8-Jul,1-May
